"ly" Verbs		Length	|	Verbs	Length	|	Adjectives	Length	|	Nouns		Length	|	Superlatives	Length
----------------------------------------------------------------------------------------------------------------------
ably			4		|	writhe	6		|	an			2		|	go			2		|	best			4
duly			4       |   wrench	6       |   my			2       |   if			2       |   most			4
idly			4       |   worsen	6       |   no			2       |   it			2       |   most			4
only			4       |   wonder	6       |   OK			2       |   act			3       |   worst			5
amply			5       |   wobble	6       |   all			3       |   ads			3       |   least			5
aptly			5       |   wither	6       |   any			3       |   age			3       |   ablest			6
badly			5       |   wiggle	6       |   bad			3       |   aid			3       |   bluest			6
coyly			5       |   whiten	6       |   big			3       |   air			3       |   cutest			6
daily			5       |   weaken	6       |   coy			3       |   arm			3       |   driest			6
dimly			5       |   wander	6       |   cut			3       |   art			3       |   fewest			6
dooly			5       |   waddle	6       |   day			3       |   ask			3       |   finest			6
drily			5       |   verify	6       |   dim			3       |   awe			3       |   freest			6
dryly			5       |   vanish	6       |   dry			3       |   bad			3       |   iciest			6
dully			5       |   vacate	6       |   due			3       |   bag			3       |   latest			6
early			5       |   uproot	6       |   far			3       |   bar			3       |   lowest			6
fully			5       |   uphold	6       |   fat			3       |   bat			3       |   newest			6
gaily			5       |   update	6       |   few			3       |   bed			3       |   nicest			6
haply			5       |   unwrap	6       |   fit			3       |   bee			3       |   oddest			6
hotly			5       |   unwind	6       |   fun			3       |   bet			3       |   oldest			6
icily			5       |   unveil	6       |   her			3       |   bid			3       |   palest			6
laxly			5       |   unroll	6       |   his			3       |   big			3       |   purest			6
madly			5       |   unpack	6       |   hot			3       |   bit			3       |   rarest			6
newly			5       |   unlock	6       |   icy			3       |   box			3       |   rawest			6
oddly			5       |   unload	6       |   ill			3       |   boy			3       |   ripest			6
sadly			5       |   unfurl	6       |   its			3       |   bug			3       |   rudest			6
shyly			5       |   unfold	6       |   key			3       |   bus			3       |   safest			6
slyly			5       |   typify	6       |   lax			3       |   buy			3       |   sanest			6
truly			5       |   twitch	6       |   low			3       |   can			3       |   shiest			6
wetly			5       |   tumble	6       |   mad			3       |   cap			3       |   sliest			6
wryly			5       |   trudge	6       |   new			3       |   car			3       |   sorest			6
acidly			6       |   triple	6       |   odd			3       |   cat			3       |   surest			6
airily			6       |   travel	6       |   old			3       |   cow			3       |   tamest			6
aridly			6       |   totter	6       |   one			3       |   cry			3       |   truest			6
avidly			6       |   topple	6       |   our			3       |   cub			3       |   vilest			6
baldly			6       |   tiptoe	6       |   own			3       |   cup			3       |   widest			6
barely			6       |   tingle	6       |   raw			3       |   cut			3       |   wisest			6
bodily			6       |   tickle	6       |   red			3       |   dad			3       |   baldest			7
boldly			6       |   thwart	6       |   sad			3       |   day			3       |   biggest			7
busily			6       |   thrust	6       |   sea			3       |   dig			3       |   boldest			7
cagily			6       |   thrive	6       |   shy			3       |   dog			3       |   bravest			7
calmly			6       |   thrill	6       |   six			3       |   dot			3       |   busiest			7
chicly			6       |   thread	6       |   sly			3       |   due			3       |   calmest			7
coldly			6       |   thrash	6       |   tan			3       |   ear			3       |   closest			7
comely			6       |   thatch	6       |   ten			3       |   eat			3       |   coldest			7
coolly			6       |   tether	6       |   the			3       |   egg			3       |   coolest			7
cozily			6       |   tender	6       |   top			3       |   end			3       |   coziest			7
curtly			6       |   tatter	6       |   two			3       |   era			3       |   crudest			7
cutely			6       |   target	6       |   wax			3       |   eye			3       |   dampest			7
daftly			6       |   tangle	6       |   wee			3       |   fad			3       |   darkest			7
damply			6       |   tamper	6       |   wet			3       |   fan			3       |   dearest			7
